Rig,OLD,OLD,MAC (NIC-1) enp031f6,MAC (NIC-2) enp2s0,IP,PDU IP,PDU Port #,Rig In place?,Ram,Nvme,Bios,Renamed,Pdu Port set,Ip set,Commisioned,Partition,Deployed,VastAi,Tower Number,Company's Serial Number,Notes
B12204,80:e8:2c:e2:f0:f9,80:e8:2c:e2:f0:fa,80:e8:2c:e2:f0:98,80:e8:2c:e2:f0:99,10.10.122.4,10.10.200.124,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1379,,
B12205,80:e8:2c:e2:f1:7e,80:e8:2c:e2:f1:7f,80:e8:2c:e2:e1:2b,80:e8:2c:e2:e1:2c,10.10.122.5,10.10.200.123,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1380,,
B12206,80:e8:2c:e2:e1:44,80:e8:2c:e2:e1:45,80:E8:2C:E2:DF:BA,80:e8:2c:e2:df:bb,10.10.122.6,10.10.200.124,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1336,,
B12207,80:e8:2c:e2:ca:be,80:e8:2c:e2:ca:bf,80:e8:2c:e2:e1:f8,80:e8:2c:e2:e1:f9,10.10.122.7,10.10.200.123,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1373,,
B12208,80:E8:2C:E2:8D:8A,80:e8:2c:e2:8d:8b,80:E8:2C:E2:8D:8A,80:e8:2c:e2:8d:8b,10.10.122.8,10.10.200.124,22,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1331,,
B12209,80:e8:2c:e2:e1:f8,80:e8:2c:e2:e1:f9,80:e8:2c:e2:ca:be,80:e8:2c:e2:ca:bf,10.10.122.9,10.10.200.123,9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1323,,
B12210,80:E8:2C:E2:DF:BA,80:e8:2c:e2:df:bb,80:e8:2c:e2:e1:44,80:e8:2c:e2:e1:45,10.10.122.10,10.10.200.124,10,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1338,,
B12211,80:e8:2c:e2:91:77,80:e8:2c:e2:91:78,80:e8:2c:e2:94:39,80:e8:2c:e2:94:3a,10.10.122.11,10.10.200.123,11,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1341,,
B12212,80:e8:2c:e2:e0:86,80:e8:2c:e2:e0:87,80:e8:2c:e2:96:03,80:e8:2c:e2:96:04,10.10.122.12,10.10.200.124,12,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1342,,
B12213,80:E8:2C:E2:DF:28,80:e8:2c:e2:df:29,80:E8:2C:E2:DF:28,80:e8:2c:e2:df:29,10.10.122.13,10.10.200.123,13,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1345,,
B12214,80:e8:2c:e2:96:03,80:e8:2c:e2:96:04,80:e8:2c:e2:e0:86,80:e8:2c:e2:e0:87,10.10.122.14,10.10.200.124,14,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,TR-1334,,Need to check with Internet Cable
B12215,80:e8:2c:e2:94:39,80:e8:2c:e2:94:3a,80:e8:2c:e2:91:77,80:e8:2c:e2:91:78,10.10.122.15,10.10.200.123,15,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1354,,
B12216,80:e8:2c:e2:91:0e,80:e8:2c:e2:91:0f,80:e8:2c:e2:92:c0,80:e8:2c:e2:92:c1,10.10.122.16,10.10.200.124,23,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1332,,
B12217,80:e8:2c:e1:e9:17,80:e8:2c:e1:e9:18,,,10.10.122.17,10.10.200.123,17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-,,
B12218,80:e8:2c:e2:8f:75,80:e8:2c:e2:8f:76,80:e8:2c:e2:8f:75,80:e8:2c:e2:8f:76,10.10.122.18,10.10.200.124,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1343,,
B12219,,,80:e8:2c:e1:e9:17,80:e8:2c:e1:e9:18,,10.10.200.123,19,,,,,,,,,,,,TR-1337,,Time Sync Issue (Error Code: 005 Possible action to fix it is replacing the Battery)
B12220,80:e8:2c:e2:92:c0,80:e8:2c:e2:92:c1,80:e8:2c:e2:91:0e,80:e8:2c:e2:91:0f,10.10.122.20,10.10.200.124,20,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1362,,
B12301,80:e8:2c:e2:df:88,80:e8:2c:e2:df:89,80:e8:2c:e2:e1:8d,80:e8:2c:e2:e1:8e,10.10.123.1,10.10.200.125,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,TR-1364,,
