Rig,MAC (NIC-1) enp031f6,MAC (NIC-2) enp2s0,IP,PDU IP,PDU Port #,Rig In place?,Ram,Bios,Nvme,Pdu Port set,Partition,Commisioned,Deployed,RunPod,VastAi,Port Forward,Port Range,Tower Number,Notes,Company's Serial Number,GPU,,,,Notes
A02211,74:86:e2:10:6a:6a,74:86:e2:10:66:6b,10.10.22.11,10.10.200.22,11,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,TR-1450,,,,,,,
A02212,74:86:e2:10:68:86,74:86:e2:10:67:02,10.10.22.12,10.10.200.22,42,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,TR-1451,,,,,,,
A02213,74:86:e2:10:66:9e,74:86:e2:10:65:15,10.10.22.13,10.10.200.22,13,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,TR-1452,,,,,,,Need to check NIC1 connection
A02214,74:86:e2:10:68:39,74:86:e2:10:67:23,10.10.22.14,10.10.200.22,14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,TR-1453,,,,,,,
A02215,74:86:e2:09:6e:48,74:86:e2:09:6d:31,10.10.22.15,10.10.200.22,15,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,TR-1454,,,,,,,
A02216,74:86:e2:10:66:99,74:86:e2:10:65:6c,10.10.22.16,10.10.200.22,46,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,TR-1455,,,,,,,
A02217,74:86:e2:10:63:1a,74:86:e2:10:62:17,10.10.22.17,10.10.200.22,17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,TR-1456,,,,,,,
A02218,74:86:e2:10:64:b4,74:86:e2:10:63:50,10.10.22.18,10.10.200.22,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,TR-1457,,,,,,,Need to Troubleshoot
A02219,74:86:e2:10:62:f1,74:86:e2:10:61:e2,10.10.22.19,10.10.200.22,19,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,TR-1458,,,,,,,
A02220,74:86:e2:10:61:20,74:86:e2:10:60:2c,10.10.22.20,10.10.200.22,30,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,TR-1459,,,,,,,
A02301,74:86:e2:13:9f:ec,74:86:e2:13:9d:8e,10.10.23.1,10.10.200.23,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,TR-1481,,,,,,,cm3-cluster
A02302,74:86:e2:12:d5:75,74:86:e2:12:d2:37,10.10.23.2,10.10.200.23,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,TR-1482,,,,,,,cm3-cluster
A02303,,,10.10.23.3,10.10.200.23,3,,,,,,,,,,Yes,,,TR-1656,,,,,,,cm3-cluster
A02304,74:86:e2:13:c9:6a,74:86:e2:13:c8:e4,10.10.23.4,10.10.200.23,34,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,TR-1484,,,,,,,cm3-cluster
A02305,74:86:e2:13:9a:e1,74:86:e2:13:89:c8,10.10.23.5,10.10.200.23,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,TR-1485,,,,,,,cm3-cluster
A02306,74:86:e2:10:69:6b,74:86:e2:10:68:54,10.10.23.6,10.10.200.23,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,TR-1430,,,,,,,
A02307,74:86:e2:10:68:90,74:86:e2:10:67:68,10.10.23.7,10.10.200.23,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,TR-1431,,,,,,,
A02308,74:86:e2:10:6b:49,74:86:e2:10:6a:47,10.10.23.8,10.10.200.23,38,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,TR-1432,,,,,,,
A02309,74:86:e2:09:6f:6d,74:86:e2:09:6d:6c,10.10.23.9,10.10.200.23,9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,TR-1433,,,,,,,
A02310,74:86:e2:09:6d:9f,74:86:e2:09:6a:bc,10.10.23.10,10.10.200.23,10,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,TR-1434,,,,,,,
A02311,74:86:e2:10:5b:9b,74:86:e2:10:56:a5,10.10.23.11,10.10.200.23,11,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,TR-1435,,,,,,,
A02312,74:86:e2:10:68:aa,74:86:e2:10:67:3c,10.10.23.12,10.10.200.23,42,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,TR-1436,,,,,,,
A02313,74:86:e2:10:66:49,74:86:e2:10:63:0f,10.10.23.13,10.10.200.23,13,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,TR-1437,,,,,,,
A02314,74:86:e2:10:68:bf,74:86:e2:10:67:15,10.10.23.14,10.10.200.23,14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,TR-1438,,,,,,,
A02315,74:86:e2:10:64:5e,74:86:e2:10:62:0c,10.10.23.15,10.10.200.23,15,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,TR-1439,,,,,,,
A02316,74:86:e2:09:76:0a,74:86:e2:09:74:dc,10.10.23.16,10.10.200.23,46,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,TR-1440,,,,,,,
A02317,74:86:e2:10:6c:d8,74:86:e2:10:6b:56,10.10.23.17,10.10.200.23,17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,TR-1441,,,,,,,
A02318,74:86:e2:10:6a:a9,74:86:e2:10:69:a0,10.10.23.18,10.10.200.23,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,TR-1442,,,,,,,
A02319,74:86:e2:13:b1:be,74:86:e2:13:b1:01,10.10.23.19,10.10.200.23,19,,,,,Yes,,,,,Yes,,,TR-1518,,,,,,,
A02320,74:86:e2:10:6c:92,74:86:e2:10:68:02,10.10.23.20,10.10.200.23,30,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,TR-1444,,,,,,,
A02401,74:86:e2:09:6e:83,74:86:e2:09:6d:79,10.10.24.1,10.10.200.24,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,TR-1506,,,,,,,
A02402,74:86:e2:10:68:3d,74:86:e2:10:67:24,10.10.24.2,10.10.200.24,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,TR-1507,,,,,,,
A02403,74:86:e2:09:6f:51,74:86:e2:09:6e:2d,10.10.24.3,10.10.200.24,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,TR-1508,,,,,,,
A02404,74:86:e2:09:6f:d8,74:86:e2:09:6e:f4,10.10.24.4,10.10.200.24,34,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,TR-1509,,,,,,,
A02405,74:86:e2:10:69:fc,74:86:e2:10:68:cf,10.10.24.5,10.10.200.24,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,TR-1510,,,,,,,
A02406,74:86:e2:10:62:ad,74:86:e2:10:2d:33,10.10.24.6,10.10.200.24,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,TR-1476,,,,,,,Need to Troubleshoot (The system is going to Hardware Test mode when reboot)
A02407,74:86:e2:10:60:56,74:86:e2:10:5f:30,10.10.24.7,10.10.200.24,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,TR-1477,,,,,,,
A02408,74:86:e2:10:31:bb,74:86:e2:10:30:79,10.10.24.8,10.10.200.24,38,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,TR-1478,,,,,,,
A02409,74:86:e2:10:42:30,74:86:e2:10:2f:9f,10.10.24.9,10.10.200.24,9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,TR-1479,,,,,,,
A02410,74:86:e2:10:61:f8,74:86:e2:10:1c:70,10.10.24.10,10.10.200.24,10,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,TR-1480,,,,,,,
A02411,74:86:e2:10:65:ff,74:86:e2:10:64:b7,10.10.24.11,10.10.200.24,11,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,TR-1425,,,,,,,
A02412,74:86:e2:10:66:45,74:86:e2:10:65:30,10.10.24.12,10.10.200.24,42,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,TR-1426,,,,,,,
A02413,74:86:e2:10:64:b5,74:86:e2:10:63:2a,10.10.24.13,10.10.200.24,13,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,TR-1427,,,,,,,
A02414,74:86:e2:10:67:c4,74:86:e2:10:66:cd,10.10.24.14,10.10.200.24,14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,TR-1428,,,,,,,
A02415,74:86:e2:09:6f:33,74:86:e2:09:6e:4e,10.10.24.15,10.10.200.24,15,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,TR-1429,,,,,,,
A02416,74:86:e2:10:62:23,74:86:e2:10:60:ea,10.10.24.16,10.10.200.24,46,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,TR-1420,,,,,,,
A02417,,,10.10.24.17,10.10.200.24,17,Yes,,,Yes,,,,,,,,,TR-1612,,,,,,,Need to Troubleshoot
A02418,74:86:e2:10:66:aa,74:86:e2:10:65:79,10.10.24.18,10.10.200.24,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,TR-1422,,,,,,,
A02419,74:86:e2:10:61:e1,74:86:e2:10:5f:e2,10.10.24.19,10.10.200.24,19,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,TR-1423,,,,,,,
A02420,74:86:e2:10:62:f4,74:86:e2:10:61:cd,10.10.24.20,10.10.200.24,30,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,TR-1424,,,,,,,
A02501,74:86:e2:13:b3:c9,74:86:e2:13:b2:ea,10.10.25.1,10.10.200.25,1,,,,,Yes,,Yes,,,Yes,,,TR-1512,,,,,,,
